"","site","Latitude","Longitude","EarlyEVI","EarlyNDVI","EarlyNDWI","LateEVI","LateNDVI","LateNDWI"
"28","AbrahaAtsbaha",13.8,39.5,0.5,0.5,0.5,0.5,0,0.5
"54","AdekeAla",13.348441,39.236951,1,0.5,0.5,1,0.5,0.5
"34","AdiHa",13.733,39.087,0.5,0.5,0.5,1,0.5,1
"29","AdiKisandid",13.82423333,39.61081667,0.5,0.5,0.5,0.5,0.5,0.5
"55","AdisAlemS",13.308802,39.229,1,0.5,0.5,1,0.5,0.5
"64","AdisAlemW",14.1,39.2,0,0,0,0.5,0,0
"40","AdisKigni",12.42191667,39.67775,0.5,0.5,0.5,1,1,1
"9","Adiyikoro",14.19138333,39.07198333,0.5,0,0.5,0.5,0.5,0.5
"10","Adizata",14.2262,39.08181667,0.5,0,0.5,0.5,0.5,0.5
"56","AmdiWeyane",13.3,39.2,1,0.5,0.5,1,0.5,0.5
"48","Asmena",14.2107,39.61543333,0,0.5,0.5,0.5,0.5,0.5
"35","Atakilti",13.7,38.9,0,0,0.5,0.5,0.5,0.5
"36","AwetBikalsi",13.744,39.136,0.5,0.5,0.5,1,0.5,1
"30","Aynalem",13.75331667,39.54968333,0.5,0.5,0.5,0.5,0,0.5
"41","Bala",12.43026667,39.742,0,0,0,1,1,1
"23","BarkaAdiswha",13.81893333,39.72011667,0.5,0.5,0.5,0.5,1,1
"37","Begashek",13.62643333,38.92838333,0,0,0,0.5,0.5,0.5
"11","Betgebez",14.36085,39.10301667,0.5,0.5,0.5,0.5,0,0
"1","Bethans",14.1509,38.8504,0.5,0.5,0.5,0.5,0.5,0.5
"2","DebreGenetA",14.107,38.963,0,0,0,1,0.5,0.5
"38","DebreGenetK",13.6,39,0,0,0,0.5,0.5,0.5
"42","Ebo",12.86883333,39.67121667,0,0,0,0.5,0.5,0.5
"3","EndaBagerima",14.158,38.961,0,0,0,0.5,0.5,0.5
"65","Endachiwa",14.06666667,39.02396667,0,0,0.5,1,0.5,0.5
"66","Endagahamus",14,39.1,0.5,0.5,0.5,1,1,1
"24","FelegeWayane",13.9,39.742,0,0.5,0.5,1,1,1
"4","Gendebta",14.23,39.015,0,0,0,0.5,0.5,0.5
"31","Genfel",13.78058333,39.58768333,0.5,0.5,0.5,0.5,0.5,0.5
"60","Gera",13.43246667,38.96085,0,0,0,0,0,0
"17","Gerjale",12.527198,39.651575,0,0,0,1,1,1
"25","Golgolemalee",13.87976667,39.73488333,0.5,0.5,0.5,1,1,1
"49","GuemseAgamet",14.01175,39.59356667,0.5,0.5,0.5,0.5,0.5,0.5
"26","Habees",13.81136667,39.6867,0.5,0.5,0.5,0.5,1,1
"50","HadushAdi",14.127,39.583,0.5,0.5,0.5,0,0,0
"51","HadushHiwet",14.2,39.6,0,0.5,0.5,0.5,0.5,0.5
"43","Hawelti",12.8383,39.716,0,0,0,0,0,0
"57","HintsaWaza",13.28738,39.177571,1,0.5,0.5,1,0.5,0.5
"61","ImbaRufael",13.4,39,0,0,0,0,0,0
"44","Korme",12.5342,39.73416667,0,0,0,1,1,1
"18","KuluGizeLemlem",12.447477,39.65574,0,0,0,1,1,1
"19","LaelayDayu",12.466214,39.650299,0,0,0,1,1,1
"12","LaelayMegariaTsemri",14.27076667,39.08091,0,0,0,0.5,0,0
"62","Lemlem",13.24661667,39.04156667,0,0,0,0,0,0.5
"20","Limaat",12.398839,39.657985,0.5,0.5,0.5,0.5,0.5,0.5
"67","Maekelawi",14,39.1,0.5,0.5,0.5,1,1,1
"68","MaekelSegli",13.9,38.9,0.5,0.5,0.5,0.5,0.5,0.5
"32","MahbereWeyane",13.69048333,39.55716667,0,0,0,1,1,1
"5","MariamShewito",14.0524,38.9571,0,0,0,1,0.5,0.5
"13","Maysuru",14.2793,39.17853333,0,0,0,0.5,0,0
"58","MayTeklia",13.254226,39.242201,1,0.5,0.5,1,0.5,0.5
"63","Mearey",13.19138333,38.99416667,0,0,0,0,0,0.5
"45","Mechare",12.76645,39.811,0,0,0,0,0,0
"39","Menji",13.69308333,38.89091667,0,0,0.5,0.5,0.5,0.5
"59","MetkelLemat",13.237814,39.187599,0.5,0,0.5,1,1,1
"33","Nagash",13.87613333,39.59755,0,0.5,0.5,0.5,0.5,0.5
"27","RubaFelege",13.94443333,39.72905,0.5,0.5,0.5,1,1,1
"69","Selam",14,39,0,0.5,0,0.5,0.5,0.5
"21","SelamBekalsi",12.414739,39.659153,0.5,0.5,0.5,1,1,1
"22","SelenWuha",12.358934,39.657374,0.5,0.5,0.5,0.5,0.5,0.5
"6","Seloda",14.204,38.8843,0.5,0.5,0.5,0.5,0.5,0.5
"52","Sendada",13.96051667,39.59608333,0.5,0.5,0.5,0.5,0.5,0.5
"14","Sero",14.32078333,39.22411667,0,0,0,0.5,0,0
"53","Sinkata",14.01175,39.59356667,0.5,0.5,0.5,0.5,0.5,0.5
"15","TahtayDaeroka",14.21841667,39.11961667,0.5,0,0.5,0.5,0.5,0.5
"7","TahtayLegomti",14.0784,38.9704,0,0,0,1,0.5,0.5
"16","TahtayMegariaTsebri",14.30111667,39.07828333,0,0,0,0.5,0,0
"46","Tsigea",12.79798333,39.65126667,0,0,0,0,0,0
"47","Ulaga",12.44273333,39.80076667,0,0,0,0.5,0.5,0.5
"8","Wedikeshi",14.2475,38.878,0.5,0.5,0.5,0.5,0.5,0.5
